task_name,feedback_loop,directive,task_iteration,validation,learning,filtered
"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene.",0.0,0.2622950819672131,0.1639344262295081,0.0,0.3524590163934426,0.221311475409836
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.0,0.3461538461538461,0.3076923076923077,0.0,0.2211538461538461,0.125
"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.",0.0,0.2941176470588235,0.4852941176470588,0.0,0.0,0.2205882352941176
analyze and classify risks and investments to determine their potential impacts on companies.,0.0754189944134078,0.2374301675977653,0.1955307262569832,0.0670391061452514,0.4134078212290503,0.0111731843575419
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",0.0,0.0,0.3703703703703703,0.0,0.3518518518518518,0.2777777777777778
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444
analyze and evaluate robotic systems or prototypes.,0.0,0.0,0.0,0.0,0.4262295081967213,0.5737704918032787
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.0685279187817258,0.2385786802030456,0.1446700507614213,0.1015228426395939,0.3604060913705584,0.0862944162436548
"analyze and implement engineering designs for producing electronic devices and systems and microprocessor-based control applications, applying principles of mathematics, digital signal processing, network analysis, and computer engineering.",0.0,0.0,0.0,0.0,0.0,1.0
analyze and interpret data to increase the understanding of human social behavior.,0.037593984962406,0.3759398496240601,0.2681704260651629,0.0401002506265664,0.2556390977443609,0.0225563909774436
analyze and interpret news and information received from various sources to broadcast the information.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.0,0.2666666666666666,0.325,0.0,0.275,0.1333333333333333
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.0386847195357833,0.2785299806576402,0.0425531914893617,0.0502901353965183,0.5764023210831721,0.0135396518375241
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",0.1007957559681697,0.2652519893899204,0.0742705570291777,0.0583554376657824,0.4721485411140583,0.0291777188328912
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,0.0,0.3857142857142857,0.4,0.0,0.0,0.2142857142857142
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",0.0,0.0,0.0,0.0,0.4680851063829787,0.5319148936170213
analyze and record personnel or operational data and write related activity reports.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.10239651416122,0.3910675381263616,0.2309368191721132,0.0522875816993464,0.1906318082788671,0.0326797385620915
analyze and report computer network security breaches or attempted breaches.,0.1076320939334637,0.2015655577299412,0.1135029354207436,0.0821917808219178,0.4520547945205479,0.0430528375733855
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,0.0,0.1176470588235294,0.090497737556561,0.0723981900452488,0.5972850678733032,0.1221719457013574
"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",0.0,0.0,0.0,0.0,0.0,1.0
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",0.0,0.0,0.0,0.0,0.0,1.0
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.0638629283489096,0.2803738317757009,0.3457943925233644,0.0467289719626168,0.2507788161993769,0.0124610591900311
analyze changes designed to improve the environmental performance of complex systems to avoid unintended negative consequences.,0.0,0.2705882352941176,0.3176470588235294,0.0,0.3529411764705882,0.0588235294117647
analyze characteristics of animals to identify and classify them.,0.1107491856677524,0.1856677524429967,0.1074918566775244,0.0,0.5407166123778502,0.0553745928338762
"analyze chromosomes found in biological specimens to aid diagnoses and treatments for genetic diseases such as congenital birth defects, fertility problems, and hematological disorders.",0.0,0.0,0.0,0.0,0.0,1.0
analyze clinical data using appropriate statistical tools.,0.0,0.3872832369942196,0.1791907514450867,0.0,0.3526011560693641,0.0809248554913294
"analyze clinical or survey data using statistical approaches such as longitudinal analysis, mixed effect modeling, logistic regression analyses, and model building techniques.",0.0,0.4259259259259259,0.0,0.0,0.2777777777777778,0.2962962962962963
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",0.0,0.2459016393442623,0.0,0.0,0.4098360655737705,0.3442622950819672
"analyze competitive market strategies through analysis of related product, market, or share trends.",0.0,0.3095238095238095,0.3214285714285714,0.0,0.3035714285714285,0.0654761904761904
analyze completed police reports to determine what additional information and investigative work is needed.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",0.0,0.2568807339449541,0.0,0.0,0.4220183486238532,0.3211009174311927
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",0.0,0.2564102564102564,0.0,0.0,0.5256410256410257,0.2179487179487179
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.0,0.2835051546391752,0.1494845360824742,0.1030927835051546,0.4123711340206185,0.0515463917525773
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze data from surveys, old records, or case studies, using statistical software.",0.1058252427184466,0.2533980582524271,0.1368932038834951,0.0650485436893203,0.4058252427184466,0.033009708737864
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",0.0,0.2633451957295373,0.1814946619217081,0.0,0.5231316725978647,0.0320284697508896
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,0.0437158469945355,0.4617486338797814,0.2377049180327868,0.0,0.180327868852459,0.0765027322404371
analyze data to determine answers to questions from customers or members of the public.,0.0284495021337126,0.352773826458037,0.0597439544807965,0.1607396870554765,0.3328591749644381,0.0654338549075391
analyze data to determine feasibility of product proposals.,0.0,0.0,0.0,0.0,0.0,1.0
analyze data to determine the effectiveness of specific treatments or therapy approaches.,0.0,0.375,0.2954545454545454,0.0,0.2443181818181818,0.0852272727272727
analyze data to determine the effectiveness of treatments or therapy approaches.,0.0,0.3419354838709677,0.2580645161290322,0.0,0.3161290322580645,0.0838709677419354
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",0.0,0.3013698630136986,0.2191780821917808,0.0,0.3972602739726027,0.0821917808219178
"analyze data, using statistical methods and applications, to evaluate the outcomes and effectiveness of workplace programs.",0.0,0.0,0.0,0.0,0.0,1.0
analyze details of sales territories to assess their growth potential and to set quotas.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",0.0,0.0,0.0,0.0,0.5,0.5
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.0303766707168894,0.2665046577561766,0.1364925070878898,0.0850546780072904,0.4362089914945322,0.0453624949372215
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",0.0,0.0,0.0,0.0,0.4042553191489361,0.5957446808510638
analyze employment-related data and prepare required reports.,0.0,0.0,0.0,0.0,0.0,1.0
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,0.0,0.0,0.0,0.0,0.0,1.0
analyze equipment performance records to assess equipment functioning.,0.21875,0.0,0.0,0.0,0.59375,0.1875
analyze equipment performance records to determine the need for repair or replacement.,0.0,0.0,0.0,0.0,0.4558823529411764,0.5441176470588235
analyze existing development or manufacturing procedures and suggest improvements.,0.0,0.0,0.3658536585365853,0.0,0.0,0.6341463414634146
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.0,0.2941176470588235,0.2647058823529412,0.0,0.2529411764705882,0.188235294117647
analyze experimental data and interpret results to write reports and summaries of findings.,0.0994724943481537,0.1974378296910324,0.1409193669932177,0.0881688018085908,0.4521477015825169,0.0218538055764883
"analyze factors such as weather reports, fuel requirements, or maps to determine air routes.",0.0,0.0,0.0,0.0,0.0,1.0
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,0.0,0.3045454545454545,0.3818181818181818,0.0,0.1863636363636363,0.1272727272727272
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",0.0,0.0,0.0,0.0,0.0,1.0
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",0.0,0.0,0.0,0.0,0.0,1.0
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.0,0.2481751824817518,0.2457420924574209,0.0,0.4233576642335766,0.0827250608272506
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.0949367088607595,0.2136075949367088,0.2199367088607595,0.0775316455696202,0.3765822784810126,0.0174050632911392
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,0.0,0.0,0.0,0.0,0.7037037037037037,0.2962962962962963
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",0.0,0.0,0.0,0.0,0.5,0.5
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",0.0,0.0,0.0,0.0,0.4222222222222222,0.5777777777777777
analyze green product marketing or sales trends to forecast future conditions.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze historical climate information, such as precipitation or temperature records, to help predict future weather or climate trends.",0.0,0.0,0.0,0.0,0.0,1.0
analyze information from traffic counting programs.,0.0,0.2682926829268293,0.3658536585365853,0.0,0.2560975609756097,0.1097560975609756
analyze information gathered by investigation and report findings and recommendations.,0.0,0.2525252525252525,0.202020202020202,0.0,0.4646464646464646,0.0808080808080808
analyze information obtained from management to conceptualize and define operational problems.,0.0,0.3318385650224215,0.2690582959641255,0.0,0.2466367713004484,0.1524663677130044
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",0.0,0.3020527859237537,0.2961876832844575,0.0,0.2727272727272727,0.1290322580645161
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",0.0549860205032618,0.1733457595526561,0.1043802423112768,0.0419384902143522,0.5862068965517241,0.0391425908667288
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.0815217391304347,0.1902173913043478,0.092391304347826,0.0,0.5217391304347826,0.1141304347826086
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.1058944482522275,0.1665524331734064,0.1067511994516792,0.0334132967786154,0.5711103495544894,0.0162782727895819
"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",0.0,0.0,0.0,0.0,0.0,1.0
analyze laboratory findings to check the accuracy of the results.,0.1136363636363636,0.3181818181818182,0.1136363636363636,0.2329545454545454,0.1875,0.034090909090909
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",0.2445887445887445,0.1212121212121212,0.2229437229437229,0.0411255411255411,0.3528138528138528,0.0173160173160173
"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis.",0.0,0.0,0.0,0.0,0.0,1.0
analyze market conditions to determine optimum times to execute securities transactions.,0.1413612565445026,0.3036649214659686,0.1047120418848167,0.0,0.387434554973822,0.06282722513089
"analyze menus or recipes, standardize recipes, or test new products.",0.0,0.0,0.4090909090909091,0.0,0.0,0.5909090909090909
analyze monthly department budgeting and accounting reports to maintain expenditure controls.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze network data to determine network usage, disk space availability, or server function.",0.2097902097902098,0.1258741258741259,0.0,0.0,0.5524475524475524,0.1118881118881118
analyze new medical procedures to forecast likely outcomes.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.0528541226215644,0.2600422832980972,0.361522198731501,0.040169133192389,0.2536997885835095,0.0317124735729386
analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.0,0.5333333333333333,0.0,0.0,0.0,0.4666666666666667
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",0.2259615384615384,0.1394230769230769,0.1826923076923076,0.0,0.3894230769230769,0.0625
analyze or synthesize client data to draw conclusions or make recommendations for art therapy.,0.0,0.0,0.4545454545454545,0.0,0.0,0.5454545454545454
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.0,0.2827586206896552,0.2551724137931034,0.0,0.3379310344827586,0.1241379310344827
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.0308714341539663,0.3098866744822196,0.1246580695584212,0.0437670965220789,0.47010550996483,0.0207112153184837
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.0288870008496176,0.3882752761257434,0.0802888700084961,0.0917587085811384,0.3623619371282923,0.0484282073067119
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",0.0,0.0,0.0,0.0,0.4918032786885246,0.5081967213114754
"analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",0.0,0.0,0.0,0.0,0.0,1.0
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,0.0,0.0,0.0,0.0,0.0,1.0
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,0.0057034220532319,0.1642585551330798,0.0577946768060836,0.0152091254752851,0.685171102661597,0.0718631178707224
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.0,0.4121621621621621,0.2477477477477477,0.0990990990990991,0.1959459459459459,0.045045045045045
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,0.0,0.2727272727272727,0.2272727272727272,0.0,0.4696969696969697,0.0303030303030303
analyze potential loan markets and develop referral networks to locate prospects for loans.,0.0,0.3,0.5,0.0,0.0,0.2
analyze potential loan markets to find opportunities to promote loans and financial services.,0.0,0.0,0.3653846153846153,0.0,0.3461538461538461,0.2884615384615384
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.0,0.3132530120481928,0.1927710843373494,0.0,0.2650602409638554,0.2289156626506024
analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,0.0,0.0,0.0,0.0,0.0,1.0
analyze problems to develop solutions involving computer hardware and software.,0.1146443514644351,0.1907949790794979,0.1857740585774058,0.0719665271966527,0.3933054393305439,0.0435146443514644
analyze product complaints and make recommendations regarding their reportability.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",0.0,0.0,0.0,0.0,0.0,1.0
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.0,0.325,0.0,0.0,0.55,0.125
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",0.0,0.0,0.0,0.0,0.4716981132075472,0.5283018867924528
"analyze research data to determine its significance, using computers.",0.1080691642651296,0.2060518731988472,0.1123919308357348,0.0979827089337175,0.4495677233429395,0.0259365994236311
analyze samples of biological material for chemical content or reaction.,0.0,0.0,0.0,0.0,0.4848484848484848,0.5151515151515151
"analyze samples, such as air or water samples, for contaminants or other elements.",0.0,0.0,0.0,0.0,0.0,1.0
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.0,0.3283582089552239,0.4328358208955223,0.0,0.0,0.2388059701492537
analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.,0.0,0.4609375,0.359375,0.0,0.0,0.1796875
analyze system performance or operational requirements.,0.1063829787234042,0.1003039513677811,0.1094224924012158,0.0364741641337386,0.6352583586626139,0.0121580547112462
analyze target companies or investment opportunities to inform investment decisions.,0.088235294117647,0.289002557544757,0.2570332480818414,0.0370843989769821,0.3056265984654731,0.0230179028132992
analyze technology trends to identify markets for future product development or to improve sales of existing products.,0.0,0.0,0.0,0.0,0.0,1.0
"analyze test data for automotive systems, subsystems, or component parts.",0.2833333333333333,0.0,0.0,0.0,0.4833333333333333,0.2333333333333333
"analyze test data, making computations as necessary, to determine test results.",0.1259411362080766,0.3559206023271731,0.1430527036276523,0.1232032854209445,0.2197125256673511,0.0321697467488021
analyze test results and develop a treatment plan.,0.0,0.3461538461538461,0.0,0.0,0.5512820512820513,0.1025641025641025
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",0.0,0.0,0.0,0.0,0.4473684210526316,0.5526315789473685
